player,league,team,country
D. Amartey,Premier League,Leicester City,England
T. Fosu,Premier League,Brentford,England
T. Partey,Premier League,Arsenal,England
M. Salisu,Premier League,Southampton,England
J. Schlupp,Premier League,Crystal Palace,England
J. Ayew,Premier League,Crystal Palace,England
A. Baba,Championship,Reading,England
A. Adomah,Championship,Queens Park Rangers,England
A. Yiadom,Championship,Reading,England
Y. Amankwah,League One,Accrington Stanley,England
J. Mensah,League One,Morecambe,England
J. Wollacott,League Two,Swindon Town,England
K. Appiah,League Two,Crawley Town,England
K. Arthur,National League,Dover Athletic,England
M. Gyasi,National League,Dover Athletic,England
Y. Osei-Opoku,Football League,Berwick Rangers,England
B. Mensah,National Lea…,Gloucester City,England
D. Amate,National Lea…,Hampton & Richmond,England
R. Danquah,Non League P…,Cray Wanderers,England
P. Haywood,Non League P…,Nantwich Town,England
E. Andoh,Non League P…,Stratford Town,England
A. Obeng,Non League P…,Stratford Town,England
K. Eshun,Non League P…,Hartley Wintney,England
E. Hottor,Non League P…,St Ives Town,England
C. Dickson,Non League P…,Cray Wanderers,England
M. Diop,Non League D…,Sutton Coldfield Town,England
C. Gyamfi,Non League D…,Harlow Town,England
A. Fuseini,Non League D…,VCD Athletic,England
J. Awuah,Non League D…,Ashford Town (Middlesex),England
S. Grant,Counties Leagues,Westfields,England
J. Aidoo,La Liga,Celta Vigo,Spain
E. Akurugu,La Liga,Getafe,Spain
I. Baba,La Liga,Mallorca,Spain
F. Ofoli,Segunda División,Leganes,Spain
S. Buer,Segunda División,Fuenlabrada,Spain
S. Obeng,Segunda División,Real Oviedo,Spain
R. Boateng,Segunda División,FC Cartagena,Spain
M. Dauda,Segunda División,FC Cartagena,Spain
A. Sumaila,Primera Divi…,Extremadura UD,Spain
E. Attipoe,Primera Divi…,Albacete,Spain
R. Brimah,Primera Divi…,Linares Deportivo,Spain
P. Osei,Primera Divi…,Rayo Majadahonda,Spain
L. Adeniah,Primera Divi…,Unionistas de Salamanca,Spain
T. Awudu,Primera Divi…,Badajoz,Spain
K. Sibo,Primera Divi…,Real Betis II,Spain
I. Amoah,Primera Divi…,Real Valladolid II,Spain
N. Asare,Primera Divi…,Cornellà,Spain
A. Yusif,Segunda Divi…,Leganés II,Spain
F. Ofoli,Segunda Divi…,Leganés II,Spain
S. Yemoh,Segunda Divi…,Panadería Pulido,Spain
Mawuli Mensah,Segunda Divi…,Antequera,Spain
E. Ohemeng,Segunda Divi…,Tarazona,Spain
I. Mensah,Segunda Divi…,Leganés II,Spain
S. Buer,Tercera Divi…,Madrid 2021 FP,Spain
N. Baffoe,Tercera Divi…,Manresa,Spain
D. Bempong,Tercera Divi…,Borja,Spain
J. Anaba,Tercera Divi…,Recreativo Huelva,Spain
M. Lawal,Tercera Divi…,Moralo,Spain
P. Osei,Tercera Divi…,Paracuellos Antamira,Spain
C. Hanson,Tercera Divi…,Calamonte,Spain
J. Appiah,Tercera Divi…,Xerez,Spain
J. Nkrumah,Tercera Divi…,Moralo,Spain
S. Gyesi,Tercera Divi…,Paracuellos Antamira,Spain
N. Kwaku,Tercera Divi…,UCAM Murcia II,Spain
J. Otuo,Tercera Divi…,Deportivo Alavés II,Spain
G. Aruna,Tercera Divi…,Moralo,Spain
S. Abdulai,Tercera Divi…,Getafe II,Spain
M. Amando,Tercera Divi…,San Martín,Spain
M. Alhassan,Tercera Divi…,Conquense,Spain
A. Awudu,Tercera Divi…,Moralo,Spain
E. Akurugu,Tercera Divi…,Getafe II,Spain
J. Akrong,Tercera Divi…,Grama,Spain
B. Mohammed,Tercera Divi…,Valencia II,Spain
K. Atta,Tercera Divi…,Torrijos,Spain
P. Dadzie,Tercera Divi…,Marino,Spain
M. Anaba,Tercera Divi…,Atzeneta,Spain
H. Medarious,Tercera Divi…,Marbella,Spain
F. Al Hassan,Tercera Divi…,UD San Pedro,Spain
S. Kabore,Tercera Divi…,Bala Azul,Spain
M. Abubakari,Autonómicas,Madridejos,Spain
E. Mends,Autonómicas,Madridejos,Spain
A. Sani,Autonómicas,Campanario,Spain
Meshack,Autonómicas,Ibarra,Spain
I. Appiah,Autonómicas,Valdivia,Spain
G. Asante,Autonómicas,Madridejos,Spain
M. Essiam,Autonómicas,Madridejos,Spain
F. Afena-Gyan,Serie A,Roma,Italy
A. Duncan,Serie A,Fiorentina,Italy
C. Ekuban,Serie A,Genoa,Italy
E. Gyasi,Serie A,Spezia,Italy
S. Abubakar,Serie A,Sassuolo,Italy
A. Ankrah,Serie B,Parma,Italy
B. Gyamfi,Serie B,Benevento,Italy
D. Mensah,Serie B,Pordenone,Italy
S. Mawuli,Serie C,Südtirol,Italy
N. Atiagli,Serie C,Latina,Italy
E. Enyan,Serie C,Virtus Francavilla,Italy
M. Odjer,Serie C,Palermo,Italy
J. Ekuban,Serie C,Monterosi Tuscia,Italy
M. Welbeck,Serie C,Catanzaro,Italy
A. Basit,Serie C,Monterosi Tuscia,Italy
A. Diambo,Serie C,Pescara,Italy
P. Besea,Serie C,Vis Pesaro,Italy
J. Sekyere,Serie D,Bagnolese BP,Italy
C. Antwi-Adjej,Bundesliga,Bochum,Germany
K. Boateng,Bundesliga,Hertha Berlin,Germany
K. Nuhu,Bundesliga,Hoffenheim,Germany
O. Addo,Bundesliga,Borussia Dortmund,Germany
B. Manu,2. Bundesliga,Darmstadt,Germany
H. Sarpei,2. Bundesliga,Ingolstadt,Germany
M. Akoto,2. Bundesliga,Dynamo Dresden,Germany
K. Ofori,2. Bundesliga,Paderborn,Germany
D. Kyereh,2. Bundesliga,St. Pauli,Germany
K. Wriedt,2. Bundesliga,Holstein Kiel,Germany
F. Mensah Quarshie,Regionalliga,Jeddeloh,Germany
C. Atsina,Regionalliga,Uerdingen,Germany
D. Eden,Regionalliga,Teutonia Ottensen,Germany
M. Osei-Kwadwo,Regionalliga,Preußen Münster,Germany
J. Williams,Regionalliga,Hertha BSC II,Germany
K. Owusu,Regionalliga,Hamburger SV II,Germany
U. Alhassan,Regionalliga,Straelen,Germany
E. Nyarko,Regionalliga,Eintracht Norderstedt,Germany
M. Zuhs,Regionalliga,Rot Weiss Ahlen,Germany
P. Appiah,Oberliga,Greifswalder FC,Germany
F. Soma,Oberliga,Eintracht Celle,Germany
K. Sulemana,Ligue 1,Rennes,France
A. Djiku,Ligue 1,Strasbourg,France
A. Waris,Ligue 1,Strasbourg,France
S. Samed,Ligue 1,Clermont,France
O. Bukari,Ligue 1,Nantes,France
G. Mensah,Ligue 1,Bordeaux,France
E. Ntim,Ligue 2,Valenciennes,France
E. Assifuah,Ligue 2,Pau,France
E. Lomotey,Ligue 2,Amiens SC,France
N. Opoku,Ligue 2,Amiens SC,France
G. Bentil,Ligue 2,Niort,France
C. Boateng,National 1,Avranches,France
E. Danso,National 2,Olympique Lyonnais II,France
E. Quarshie,National 2,GOAL FC,France
K. Osei,National 2,Aubagne,France
G. Bekoé,National 2,Haguenau,France
G. Bentil,National 3,Niort II,France
N. Opoku,National 3,Amiens SC II,France
S. Samed,National 3,Clermont II,France
C. Boateng,National 3,Avranches II,France
H. Jamal,National 3,Bordeaux  II,France
E. Bonsu,National 3,Mantes 78,France
R. Polley,Eredivisie,Heracles,Netherlands
M. Kudus,Eredivisie,Ajax,Netherlands
K. Sowah,Eredivisie,AZ,Netherlands
M. Kudus,Eerste Divisie,Ajax II,Netherlands
R. Bossman,Derde Divisie,JOS Watergraafsmeer,Netherlands
M. Amoah,Hoofdklasse,Halsteren,Netherlands
A. Agbodzie,Superliga,Skënderbeu Korçë,Albania
M. Agbekpornu,Superliga,Egnatia Rrogozhinë,Albania
R. Acquah,Superliga,Teuta Durrës,Albania
R. Dwumfour,Superliga,Skënderbeu Korçë,Albania
A. Mensah,Superliga,Skënderbeu Korçë,Albania
J. Asante,Superliga,Skënderbeu Korçë,Albania
B. Agyare,1st Division,Apolonia Fier,Albania
Tinga Tei,1st Division,Tërbuni Pukë,Albania
D. Lomotey,Ligue 1,ES Sétif,Algeria
J. Esso,Ligue 1,MC Alger,Algeria
K. Opoku,Ligue 1,USM Alger,Algeria
A. Masaudu,Ligue 2,MO Béjaïa,Algeria
